tWojewodztwo;Powiat;Gmina;Miejscowosc;Dzielnica;ludnosc
DOLNOŚLĄSKIE;wołowski;Wińsko;Wińsko;;
DOLNOŚLĄSKIE;wołowski;Wołów;Wołów;;11942.0
DOLNOŚLĄSKIE;wrocławski;Czernica;Czernica;;
DOLNOŚLĄSKIE;wrocławski;Długołęka;Długołęka;;
DOLNOŚLĄSKIE;wrocławski;Jordanów Śląski;Jordanów Śląski;;
DOLNOŚLĄSKIE;wrocławski;Kobierzyce;Kobierzyce;;
DOLNOŚLĄSKIE;wrocławski;Kąty Wrocławskie;Kąty Wrocławskie;;7127.0
DOLNOŚLĄSKIE;wrocławski;Mietków;Mietków;;
DOLNOŚLĄSKIE;wrocławski;Siechnice;Siechnice;;11366.0
DOLNOŚLĄSKIE;wrocławski;Sobótka;Sobótka;;7076.0
DOLNOŚLĄSKIE;wrocławski;Żórawina;Żórawina;;
DOLNOŚLĄSKIE;zgorzelecki;Bogatynia;Bogatynia;;15852.0
DOLNOŚLĄSKIE;zgorzelecki;Pieńsk;Pieńsk;;5402.0
DOLNOŚLĄSKIE;zgorzelecki;Sulików;Sulików;;
DOLNOŚLĄSKIE;zgorzelecki;Węgliniec;Węgliniec;;2632.0
DOLNOŚLĄSKIE;zgorzelecki;Zawidów;Zawidów;;3729.0
DOLNOŚLĄSKIE;zgorzelecki;Zgorzelec;Zgorzelec;;28466.0
DOLNOŚLĄSKIE;ząbkowicki;Bardo;Bardo;;2276.0
DOLNOŚLĄSKIE;ząbkowicki;Ciepłowody;Ciepłowody;;
DOLNOŚLĄSKIE;ząbkowicki;Kamieniec Ząbkowicki;Kamieniec Ząbkowicki;;4291.0
DOLNOŚLĄSKIE;ząbkowicki;Stoszowice;Stoszowice;;
DOLNOŚLĄSKIE;ząbkowicki;Ziębice;Ziębice;;7865.0
DOLNOŚLĄSKIE;ząbkowicki;Ząbkowice Śląskie;Ząbkowice Śląskie;;14032.0
DOLNOŚLĄSKIE;ząbkowicki;Złoty Stok;Złoty Stok;;2378.0
DOLNOŚLĄSKIE;złotoryjski;Pielgrzymka;Pielgrzymka;;
DOLNOŚLĄSKIE;złotoryjski;Wojcieszów;Wojcieszów;;3377.0
DOLNOŚLĄSKIE;złotoryjski;Zagrodno;Zagrodno;;
DOLNOŚLĄSKIE;złotoryjski;Złotoryja;Złotoryja;;14000.0
DOLNOŚLĄSKIE;złotoryjski;Świerzawa;Świerzawa;;1980.0
DOLNOŚLĄSKIE;średzki;Kostomłoty;Kostomłoty;;
DOLNOŚLĄSKIE;średzki;Malczyce;Malczyce;;
DOLNOŚLĄSKIE;średzki;Miękinia;Miękinia;;2150.0
DOLNOŚLĄSKIE;średzki;Udanin;Udanin;;
DOLNOŚLĄSKIE;średzki;Środa Śląska;Środa Śląska;;9520.0
DOLNOŚLĄSKIE;świdnicki;Dobromierz;Dobromierz;;
DOLNOŚLĄSKIE;świdnicki;Jaworzyna Śląska;Jaworzyna Śląska;;5015.0
DOLNOŚLĄSKIE;świdnicki;Marcinowice;Marcinowice;;
DOLNOŚLĄSKIE;świdnicki;Strzegom;Strzegom;;14813.0
DOLNOŚLĄSKIE;świdnicki;Świdnica;Świdnica;;52050.0
DOLNOŚLĄSKIE;świdnicki;Świebodzice;Świebodzice;;21634.0
DOLNOŚLĄSKIE;świdnicki;Żarów;Żarów;;6334.0
